averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG
155.73,15,8062,263,70,"Fitzpatrick, Ryan",QB,,HOU,8,1
155.82,22,8684,246,70,"Timmons, Lawrence",LB,,PIT,8,1
155.97,34,11640,308,39,"Bridgewater, Teddy",QB,R,MIN,8,1
156.70,23,8851,271,90,"Folk, Nick",PK,,NYJ,8,1
157.34,44,11227,290,83,"Stills, Kenny",WR,,NOS,8,1
157.64,36,9898,316,41,"Blount, LeGarrette",RB,,NEP,8,1
158.41,32,9467,332,45,"Britt, Kenny",WR,,STL,8,1
158.82,39,6475,315,93,"Graham, Shayne",PK,,NOS,8,1
160.16,38,10868,333,54,"Zuerlein, Greg",PK,,STL,8,1
160.26,19,8274,268,54,"Ryans, DeMeco",LB,,PHI,8,1
160.93,15,9819,317,36,"McCoy, Gerald",DT,,TBB,8,1
161.10,10,8042,256,7,"Cassel, Matt",QB,,MIN,8,1
162.41,29,9545,294,38,"Hartline, Brian",WR,,MIA,8,1
162.62,8,7066,295,52,"Mathis, Robert",LB,,IND,8,1
163.21,19,9825,305,102,"Dunlap, Carlos",DE,,CIN,8,1
164.16,19,9947,287,104,"Chancellor, Kam",S,,SEA,8,1
164.62,16,11432,355,38,"Cunningham, Benny",RB,,STL,8,1
164.65,34,10738,280,81,"Jones, Marvin",WR,,CIN,8,1
164.68,28,11679,263,55,"Beckham, Odell",WR,R,NYG,8,1
165.13,15,10279,356,99,"Locker, Jake",QB,,TEN,8,1
165.65,31,11642,350,15,"Bortles, Blake",QB,R,JAC,8,1
165.78,9,8160,232,113,"Suisham, Shaun",PK,,PIT,8,1
166.03,39,8416,313,82,"Walker, Delanie",TE,,TEN,8,1
167.59,17,10975,325,19,"Grimes, Jonathan",RB,,HOU,8,1
168.15,13,9464,295,79,"Matthews, Clay",LB,,GBP,8,1
168.56,16,8295,234,118,"Pollard, Bernard",S,,TEN,8,1
168.67,24,10961,341,27,"Dunbar, Lance",RB,,DAL,8,1
169.12,16,10815,245,75,"Vernon, Olivier",DE,,MIA,8,1
169.36,11,11741,239,38,"Pryor, Calvin",S,R,NYJ,8,1
169.50,36,10743,330,69,"Fleener, Coby",TE,,IND,8,1
169.65,17,9154,285,47,"Branch, Tyvon",S,,OAK,8,1
169.76,17,9492,306,62,"Byrd, Jairus",S,,NOS,8,1
170.79,19,10601,279,60,"Hawkins, Andrew",WR,,CLE,8,1
171.21,14,9815,311,81,"Suh, Ndamukong",DT,,DET,8,1
172.38,8,10265,273,106,"Dareus, Marcell",DT,,BUF,8,1
172.55,20,9474,321,84,"Cook, Jared",TE,,STL,8,1
172.77,13,11740,283,79,"Clinton-Dix, Ha Ha",S,R,GBP,8,1
172.87,15,11283,310,100,"Richardson, Sheldon",DE,,NYJ,8,1
173.11,19,11154,358,12,"Manuel, E.J.",QB,,BUF,8,1
173.36,14,11644,260,3,"Carr, Derek",QB,R,OAK,8,1
173.42,12,11757,306,29,"Donald, Aaron",DT,R,STL,8,1
173.54,13,9517,253,113,"Levy, DeAndre",LB,,DET,8,1
173.57,14,1600,359,42,"Floyd, Malcom",WR,,SDC,8,1
174.07,14,9299,276,80,"Carpenter, Dan",PK,,BUF,8,1
175.07,15,11696,340,58,"Amaro, Jace",TE,R,NYJ,8,1
175.75,16,7886,303,71,"Tuck, Justin",DE,,OAK,8,1
176.30,23,10527,344,67,"Baldwin, Doug",WR,,SEA,8,1
176.56,16,9817,315,103,"Bradford, Sam",QB,,STL,8,1
176.60,10,0502,296,54,"Colts, Indianapolis",Def,,IND,8,1
176.78,9,6510,343,46,"Peppers, Julius",LB,,GBP,8,1
179.30,20,9458,396,72,"Greene, Shonn",RB,,TEN,8,1
179.61,31,10077,325,28,"Ivory, Chris",RB,,NYJ,8,1
181.11,18,8677,313,123,"Johnson, Charles",DE,,CAR,8,1
182.17,24,8917,380,120,"Bradshaw, Ahmad",RB,,IND,8,1
183.24,21,11697,324,20,"Seferian-Jenkins, Austin",TE,R,TBB,8,1
184.00,21,11214,318,109,"Dobson, Aaron",WR,,NEP,8,1
184.63,27,9101,369,76,"Stewart, Jonathan",RB,,CAR,8,1
185.06,16,9903,275,95,"Houston, Lamarr",DE,,CHI,8,1
185.26,19,9987,357,22,"Starks, James",RB,,GBP,8,1
185.44,9,0522,245,127,"Lions, Detroit",Def,,DET,8,1
186.56,9,11323,303,98,"Reid, Eric",S,,SFO,8,1
186.67,9,9269,336,81,"Johnson, Stevie",WR,,SFO,8,1
187.00,20,11747,322,40,"White, James",RB,R,NEP,8,1
187.25,20,11758,389,49,"Latimer, Cody",WR,R,DEN,8,1
189.50,10,0503,296,37,"Dolphins, Miami",Def,,MIA,8,1
189.92,13,11440,336,72,"Thompkins, Kenbrell",WR,,OAK,8,1
190.00,10,9966,252,119,"Jones, Reshad",S,,MIA,8,1
190.27,15,9084,319,115,"Long, Chris",DE,,STL,8,1
191.89,9,9686,338,55,"Succop, Ryan",PK,,TEN,8,1
192.00,8,10761,387,92,"Poe, Dontari",DT,,KCC,8,1
192.35,17,11675,317,25,"Adams, Davante",WR,R,GBP,8,1
192.55,11,6938,391,77,"Suggs, Terrell",LB,,BAL,8,1
193.33,9,9714,277,130,"Hoyer, Brian",QB,,CLE,8,1
195.46,13,11785,323,14,"Rodgers, Richard",TE,R,GBP,8,1
196.80,10,9916,265,152,"Butler, Donald",LB,,SDC,8,1
196.90,10,10723,278,97,"Sanu, Mohamed",WR,,CIN,8,1
197.10,10,9083,302,104,"Lofton, Curtis",LB,,NOS,8,1
197.61,18,11652,347,80,"Carey, Ka'Deem",RB,R,CHI,8,1
198.10,10,9929,318,135,"Riley, Perry",LB,,WAS,8,1
198.62,8,10714,327,58,"Turbin, Robert",RB,,SEA,8,1
200.77,13,9856,346,108,"McCluster, Dexter",RB,,TEN,8,1
204.74,19,11228,336,59,"Woods, Robert",WR,,BUF,8,1
204.75,8,8448,289,137,"Bethea, Antoine",S,,SFO,8,1
204.93,14,7498,352,81,"Cotchery, Jerricho",WR,,CAR,8,1
