plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
11432,196.85,755,3366,1,2014
0505,197.56,1000,3366,1,2014
11966,197.74,509,3366,1,2014
11761,198.62,582,3366,1,2014
9843,199.11,918,3366,1,2014
0518,199.45,832,3366,1,2014
7194,199.48,268,3366,1,2014
11440,199.82,952,3366,1,2014
9456,199.99,1016,3366,1,2014
10723,200.04,851,3366,1,2014
5666,200.37,926,3366,1,2014
8062,200.66,525,3366,1,2014
11644,201.05,587,3366,1,2014
0517,201.64,598,3366,1,2014
11668,201.65,506,3366,1,2014
10300,201.84,884,3366,1,2014
11947,202.10,199,3366,1,2014
11681,202.13,457,3366,1,2014
11680,202.40,475,3366,1,2014
11925,202.83,335,3366,1,2014
7498,203.26,969,3366,1,2014
0522,204.25,636,3366,1,2014
10868,204.44,1204,3366,1,2014
11231,205.80,330,3366,1,2014
9927,206.92,845,3366,1,2014
8042,206.96,328,3366,1,2014
11390,207.44,485,3366,1,2014
11663,207.78,391,3366,1,2014
11784,208.71,610,3366,1,2014
0502,209.42,478,3366,1,2014
10365,209.92,640,3366,1,2014
9050,210.87,293,3366,1,2014
8838,210.97,432,3366,1,2014
10674,211.07,514,3366,1,2014
0524,211.10,329,3366,1,2014
11704,211.12,217,3366,1,2014
11866,211.41,756,3366,1,2014
8851,212.03,674,3366,1,2014
0503,213.03,394,3366,1,2014
7480,215.08,317,3366,1,2014
11834,215.66,492,3366,1,2014
10388,215.98,574,3366,1,2014
9299,216.49,536,3366,1,2014
10714,219.65,528,3366,1,2014
11809,219.94,379,3366,1,2014
7859,220.40,411,3366,1,2014
8269,220.48,418,3366,1,2014
11176,220.49,491,3366,1,2014
8160,220.62,569,3366,1,2014
9960,221.14,255,3366,1,2014
11651,221.25,282,3366,1,2014
11076,223.00,441,3366,1,2014
9694,223.08,443,3366,1,2014
9686,223.09,386,3366,1,2014
11659,223.89,359,3366,1,2014
0520,223.97,197,3366,1,2014
11252,224.83,465,3366,1,2014
0514,225.16,275,3366,1,2014
4891,225.60,343,3366,1,2014
9714,226.32,269,3366,1,2014
10710,226.34,435,3366,1,2014
11481,226.39,353,3366,1,2014
11226,227.57,279,3366,1,2014
11870,228.59,226,3366,1,2014
10735,229.66,344,3366,1,2014
4883,231.05,183,3366,1,2014
11384,231.60,243,3366,1,2014
10929,231.72,265,3366,1,2014
0508,232.06,210,3366,1,2014
7150,233.49,182,3366,1,2014
11188,234.35,319,3366,1,2014
8117,234.80,327,3366,1,2014
9040,235.21,180,3366,1,2014
8735,238.28,229,3366,1,2014
11698,238.52,242,3366,1,2014
9347,238.82,173,3366,1,2014
9315,238.98,197,3366,1,2014
11409,239.43,251,3366,1,2014
9838,239.66,252,3366,1,2014
10700,243.03,231,3366,1,2014
9150,243.23,213,3366,1,2014
0509,244.05,174,3366,1,2014
10800,244.75,235,3366,1,2014
11251,245.43,250,3366,1,2014
11223,246.01,212,3366,1,2014
11125,247.06,189,3366,1,2014
8178,247.55,234,3366,1,2014
10301,247.80,258,3366,1,2014
11684,247.88,176,3366,1,2014
11258,254.68,235,3366,1,2014
9921,256.69,175,3366,1,2014
10392,256.93,211,3366,1,2014
10736,257.70,171,3366,1,2014
