plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
10723,147.98,493,718,0,2016,Mohamed,Sanu,WR,ATL,143.0,10723,0,0,0,0,0,5,0,4,653,1,59,0,0,0,1,148.8,111.0
10870,148.0,499,718,0,2016,Alfred,Morris,RB,DAL,144.0,10870,0,0,0,0,2,243,0,0,11,0,3,0,0,0,0,40.4,199.0
11695,148.21,484,718,0,2016,Eric,Ebron,TE,DET,145.0,11695,0,0,0,0,1,1,0,1,711,0,61,0,0,0,0,144.2,121.0
10973,148.46,56,718,0,2016,Cole,Beasley,WR,DAL,146.0,10973,0,0,0,0,0,7,0,5,833,0,75,0,0,0,0,189.0,83.0
10702,149.85,414,718,0,2016,Brock,Osweiler,QB,HOU,147.0,10702,15,2957,16,0,2,131,0,0,-14,0,1,0,0,0,1,232.98,47.0
7942,150.39,517,718,0,2016,Darren,Sproles,RB,PHI,148.0,7942,0,0,0,0,2,438,0,2,427,0,52,0,0,0,0,162.5,103.0
4974,150.41,482,718,0,2016,Steve,Smith,WR,FA,149.0,4974,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,3.0,229.0
11746,150.7,305,718,0,2016,Terrance,West,RB,BAL,150.0,11746,0,0,0,0,5,774,0,1,236,0,34,0,0,0,0,171.0,97.0
12657,150.86,420,718,0,2016,Tajae,Sharpe,WR,TEN,151.0,12657,0,0,0,0,0,1,0,2,522,0,41,0,0,0,0,105.3,145.0
12632,151.68,319,718,0,2016,Kenneth,Dixon,RB,BAL,152.0,12632,0,0,0,0,2,382,0,1,162,0,30,0,0,0,0,102.4,149.0
12180,151.89,333,718,0,2016,Dorial,Green-Beckham,WR,PHI,153.0,12180,0,0,0,0,0,9,0,10,1367,0,101,0,0,0,1,296.6,21.0
7260,152.23,274,718,0,2016,Tony,Romo,QB,DAL,154.0,7260,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1.3,232.0
12669,153.04,73,718,0,2016,Malcolm,Mitchell,WR,NEP,156.0,12669,0,0,0,0,0,0,0,4,401,0,32,0,0,0,0,96.1,157.0
12631,153.08,202,718,0,2016,Paul,Perkins,RB,NYG,157.0,12631,0,0,0,0,0,456,0,0,162,0,15,0,0,0,0,76.8,175.0
9611,153.69,459,718,0,2016,Zach,Miller,TE,CHI,158.0,9611,0,0,0,0,0,0,0,4,486,0,47,0,0,0,0,119.6,138.0
12650,154.25,395,718,0,2016,Tyler,Boyd,WR,CIN,159.0,12650,0,0,0,0,0,58,0,1,603,0,54,0,0,0,1,124.1,135.0
11675,154.29,177,718,0,2016,Davante,Adams,WR,GBP,160.0,11675,0,0,0,0,0,0,0,12,997,1,75,0,0,0,1,246.7,40.0
10983,156.31,356,718,0,2016,Chris,Hogan,WR,NEP,161.0,10983,0,0,0,0,0,9,0,4,680,0,38,0,0,0,1,128.9,130.0
12648,156.41,229,718,0,2016,Josh,Doctson,WR,WAS,162.0,12648,0,0,0,0,0,0,0,0,66,0,2,0,0,0,0,8.6,225.0
12178,156.61,341,718,0,2016,Sammie,Coates,WR,PIT,163.0,12178,0,0,0,0,0,14,0,2,435,0,21,0,0,0,0,77.9,174.0
11761,156.7,394,718,0,2016,Jerick,McKinnon,RB,MIN,164.0,11761,0,0,0,0,2,539,1,2,255,0,43,0,0,0,0,148.4,112.0
12627,156.75,294,718,0,2016,C.J.,Prosise,RB,SEA,165.0,12627,0,0,0,0,1,172,0,0,208,0,17,0,0,0,0,61.0,189.0
12634,158.13,238,718,0,2016,Jordan,Howard,RB,CHI,166.0,12634,0,0,0,0,6,1313,0,1,298,0,29,0,0,0,1,230.1,52.0
7813,158.92,266,718,0,2016,Alex,Smith,QB,KCC,167.0,7813,15,3502,8,1,5,134,0,0,3,0,1,0,0,0,4,250.78,38.0
10903,158.98,354,718,0,2016,Rishard,Matthews,WR,TEN,168.0,10903,0,0,0,0,0,0,0,9,945,0,65,0,0,0,1,211.5,61.0
12188,159.64,331,718,0,2016,Phillip,Dorsett,WR,IND,170.0,12188,0,0,0,0,0,10,0,2,528,0,33,0,0,0,0,98.8,152.0
9064,160.72,327,718,0,2016,Joe,Flacco,QB,BAL,171.0,9064,20,4317,15,3,2,53,0,0,0,0,0,0,0,0,3,287.98,29.0
