adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
11248,0,0,0,0,0,0,0,6,686,0,66,0,0,0,1,168.6,106.0
10695,31,4240,13,2,2,341,0,0,0,0,0,0,0,0,5,351.7,5.0
11454,0,0,0,0,4,437,0,1,128,0,16,0,0,0,0,102.5,163.0
11673,0,0,0,0,0,0,0,7,941,0,63,0,0,0,1,197.1,77.0
10703,21,4219,11,1,1,259,0,1,14,0,2,0,0,0,3,308.06,13.0
9662,0,0,0,0,0,57,0,3,1106,1,98,0,0,0,2,230.3,52.0
12169,0,0,0,0,3,349,0,0,96,0,13,0,0,0,0,75.5,195.0
11657,0,0,0,0,6,988,1,3,163,0,27,0,0,0,3,192.1,83.0
11677,0,0,0,0,0,-1,0,7,307,0,30,0,0,0,0,102.6,162.0
9831,0,0,0,0,0,4,0,4,1077,0,91,0,0,0,1,221.1,56.0
9436,0,0,0,0,0,-1,0,2,536,0,44,0,0,0,0,109.5,157.0
11390,0,0,0,0,12,788,0,0,264,0,33,0,0,0,1,208.2,66.0
8687,0,0,0,0,0,0,0,3,1073,1,80,0,0,0,0,207.3,67.0
10527,1,15,0,0,0,2,0,7,1128,0,94,0,0,0,0,253.6,37.0
9122,0,0,0,0,7,813,0,1,263,0,30,0,0,0,1,183.6,93.0
10302,1,10,0,0,9,1287,0,3,377,0,53,0,0,0,1,293.8,24.0
9881,0,0,0,0,0,0,0,2,194,0,9,0,0,0,0,40.4,224.0
10721,0,0,0,0,0,0,0,5,488,0,37,0,0,0,0,115.8,152.0
11244,0,0,0,0,0,-5,0,4,1125,0,85,0,0,0,0,221.0,57.0
4925,37,5207,15,0,2,20,0,0,0,0,0,0,0,0,4,392.28,3.0
11676,0,0,0,0,0,0,0,3,804,0,73,0,0,0,0,171.4,102.0
7401,29,3819,13,3,1,14,0,0,0,0,0,0,0,0,2,292.16,26.0
11654,0,0,0,0,9,839,0,0,174,0,21,0,0,0,0,176.3,99.0
12156,0,0,0,0,9,839,0,0,174,0,21,0,0,0,0,176.3,99.0
7393,0,0,0,0,0,1,0,6,1028,0,108,0,0,0,1,244.9,43.0
12151,0,0,0,0,10,997,0,2,419,0,41,0,0,0,2,250.6,39.0
12157,0,0,0,0,1,366,0,0,514,0,53,0,0,0,1,145.0,129.0
9918,0,0,0,0,0,4,0,5,1032,0,79,0,0,0,0,212.6,63.0
5848,28,3554,2,1,0,64,0,0,0,0,0,0,0,0,0,262.56,34.0
11925,0,0,0,0,0,0,0,3,477,0,35,0,0,0,0,100.7,166.0
12187,0,0,0,0,1,114,0,1,597,0,41,0,0,0,0,124.1,146.0
8416,0,0,0,0,0,11,0,7,800,0,65,0,0,0,0,188.1,89.0
11193,0,0,0,0,2,337,0,1,336,0,39,0,0,0,1,122.3,148.0
11783,0,0,0,0,0,10,0,2,517,0,39,0,0,0,0,103.7,161.0
9101,0,0,0,0,9,824,0,0,60,0,8,0,0,0,2,146.4,124.0
10743,0,0,0,0,1,2,0,3,631,0,50,0,0,0,0,137.3,134.0
9851,0,0,0,0,0,283,0,0,94,0,17,0,0,0,0,54.7,210.0
12176,0,0,0,0,0,0,0,4,744,0,56,0,0,0,0,154.4,116.0
12162,0,0,0,0,3,460,0,0,73,0,8,0,0,0,2,75.3,196.0
9693,0,0,0,0,0,116,0,1,35,0,6,0,0,0,0,27.1,242.0
10738,0,0,0,0,0,3,0,4,930,0,55,0,0,0,0,172.3,101.0
11642,23,3905,16,1,3,359,1,1,20,0,1,0,0,0,6,331.1,8.0
9427,0,0,0,0,0,0,0,8,1003,1,89,0,0,0,0,239.3,46.0
12177,0,0,0,0,0,9,0,0,187,0,19,0,0,0,0,38.6,226.0
9690,0,0,0,0,0,24,0,0,2,0,1,0,0,0,0,3.6,274.0
12658,0,0,0,0,0,31,0,8,683,0,65,0,0,0,0,184.4,92.0
6929,26,4237,14,1,0,38,0,0,0,0,0,0,0,0,4,295.28,23.0
12155,0,0,0,0,0,101,0,1,57,0,5,0,0,0,0,26.8,244.0
11250,0,0,0,0,0,0,0,5,394,0,29,0,0,0,0,98.4,168.0
9075,0,0,0,0,0,0,0,4,1005,0,56,0,0,0,0,180.5,95.0
12626,0,0,0,0,5,490,0,0,137,0,13,0,0,0,0,105.7,159.0
7877,0,0,0,0,4,1026,0,4,277,0,38,0,0,0,1,214.3,61.0
11247,0,0,0,0,0,0,0,4,816,0,78,0,0,0,0,183.6,93.0
10389,0,0,0,0,0,283,0,0,94,0,17,0,0,0,0,54.7,210.0
12153,0,0,0,0,1,465,0,1,312,0,50,0,0,0,1,137.7,133.0
9189,0,0,0,0,0,0,0,1,327,0,37,0,0,0,0,75.7,194.0
7391,26,4027,16,0,0,-9,0,0,0,0,0,0,0,0,4,288.18,28.0
8268,0,0,0,0,3,115,0,3,249,0,23,0,0,0,1,93.4,176.0
10372,0,0,0,0,0,0,0,4,281,0,30,0,0,0,0,82.1,188.0
12186,0,0,0,0,0,10,0,3,903,0,84,0,0,0,0,193.3,82.0
12646,0,0,0,0,0,10,0,3,413,0,33,0,0,0,0,93.3,177.0
11644,28,3933,6,5,0,69,0,0,0,0,0,0,0,0,3,272.22,32.0
7394,33,4390,21,0,0,35,0,0,0,0,0,0,0,0,5,343.1,7.0
11951,1,50,0,0,0,0,0,4,895,0,72,0,0,0,0,191.5,84.0
9680,0,0,0,0,0,456,0,0,162,0,15,0,0,0,0,76.8,192.0
12140,28,4090,18,3,1,168,0,0,0,0,0,0,0,0,6,316.4,12.0
12154,0,0,0,0,8,1272,0,0,151,0,27,0,0,0,1,215.3,60.0
11656,0,0,0,0,1,149,0,1,190,0,24,0,0,0,1,67.9,201.0
10077,0,0,0,0,3,439,0,0,186,0,20,0,0,0,3,94.5,174.0
11213,0,0,0,0,1,159,0,3,509,0,58,0,0,0,1,146.8,123.0
10700,25,4917,12,0,4,100,0,0,0,0,0,0,0,0,3,348.68,6.0
7236,0,0,0,0,0,0,0,7,548,0,53,0,0,0,1,147.8,121.0
12205,0,0,0,0,0,0,0,4,371,1,23,0,0,0,0,86.1,184.0
12652,0,0,0,0,0,0,0,9,1137,0,92,0,0,0,2,255.7,36.0
9925,0,0,0,0,0,0,0,6,923,0,65,0,0,0,2,189.3,87.0
10737,0,0,0,0,0,-3,0,4,677,0,47,0,0,0,3,132.4,138.0
12645,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,2.5,279.0
9431,24,4327,10,0,2,207,0,0,0,0,0,0,0,0,2,317.78,10.0
11229,0,0,0,0,0,0,0,1,51,1,4,0,0,0,0,17.1,252.0
9044,0,0,0,0,0,10,0,7,701,0,55,0,0,0,0,168.1,109.0
11188,0,0,0,0,1,357,0,5,371,0,53,0,0,0,0,161.8,111.0
12141,26,3426,9,0,2,357,0,0,0,0,0,0,0,0,5,296.74,20.0
10289,0,0,0,0,0,0,0,3,267,0,20,0,0,0,0,64.7,205.0
10742,0,0,0,0,0,0,0,6,406,1,35,0,0,0,0,113.6,154.0
10413,17,3023,6,1,6,580,1,0,0,0,0,0,0,0,2,290.92,27.0
12152,0,0,0,0,8,520,0,3,421,0,31,0,0,0,0,191.1,86.0
11668,0,0,0,0,7,944,0,0,319,0,40,0,0,0,2,204.3,68.0
10744,0,0,0,0,0,0,0,1,237,0,22,0,0,0,0,51.7,213.0
7873,0,0,0,0,0,0,0,4,1005,0,56,0,0,0,0,180.5,95.0
9898,0,0,0,0,18,1161,0,0,38,0,7,0,0,0,1,232.9,49.0
10651,0,0,0,0,0,0,0,1,328,0,29,0,0,0,0,67.8,202.0
11695,0,0,0,0,1,1,0,1,711,0,61,0,0,0,0,144.2,130.0
10313,18,4206,8,0,4,184,0,0,0,0,0,0,0,0,3,292.64,25.0
12180,0,0,0,0,0,9,0,10,1367,0,101,0,0,0,1,296.6,21.0
9099,38,4944,7,1,0,117,1,0,0,0,0,0,0,0,2,371.46,4.0
12648,0,0,0,0,0,0,0,0,66,0,2,0,0,0,0,8.6,266.0
12629,0,0,0,0,4,612,0,1,265,0,31,0,0,0,3,142.7,131.0
6997,0,0,0,0,0,0,0,3,673,0,69,0,0,0,1,152.3,117.0
11199,0,0,0,0,3,922,0,2,447,0,33,0,0,0,3,193.9,81.0
12647,0,0,0,0,0,-3,0,2,635,0,47,0,1,0,0,128.2,141.0
12178,0,0,0,0,0,14,0,2,435,0,21,0,0,0,0,77.9,191.0
10369,0,0,0,0,3,722,0,2,388,0,58,0,0,0,1,197.0,78.0
12650,0,0,0,0,0,58,0,1,603,0,54,0,0,0,1,124.1,145.0
11179,0,0,0,0,7,583,0,1,107,0,22,0,0,0,1,137.0,135.0
10723,0,0,0,0,0,5,0,4,653,1,59,0,0,0,1,148.8,118.0
12632,0,0,0,0,2,382,0,1,162,0,30,0,0,0,0,102.4,164.0
12627,0,0,0,0,1,172,0,0,208,0,17,0,0,0,0,61.0,208.0
12188,0,0,0,0,0,10,0,2,528,0,33,0,0,0,0,98.8,167.0
12857,0,0,0,0,2,467,0,0,115,0,17,0,0,0,1,85.2,186.0
12657,0,0,0,0,0,1,0,2,522,0,41,0,0,0,0,105.3,160.0
11747,0,0,0,0,0,166,0,5,551,0,60,0,0,0,0,161.7,112.0
4974,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,3.0,277.0
11761,0,0,0,0,2,539,1,2,255,0,43,0,0,0,0,148.4,119.0
9474,0,0,0,0,0,0,0,1,377,0,30,0,0,0,1,71.7,198.0
10903,0,0,0,0,0,0,0,9,945,0,65,0,0,0,1,211.5,64.0
10697,19,2997,12,1,1,164,0,0,0,0,0,0,0,0,3,234.28,47.0
12801,0,0,0,0,3,267,0,6,593,0,61,1,2,0,1,217.0,58.0
9611,0,0,0,0,0,0,0,4,486,0,47,0,0,0,0,119.6,150.0
7942,0,0,0,0,2,438,0,2,427,0,52,0,0,0,0,162.5,110.0
10983,0,0,0,0,0,9,0,4,680,0,38,0,0,0,1,128.9,140.0
7260,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1.3,281.0
12197,0,0,0,0,0,2,0,3,499,0,33,0,0,0,0,101.1,165.0
12634,0,0,0,0,6,1313,0,1,298,0,29,0,0,0,1,230.1,53.0
12620,23,3667,4,0,6,282,0,0,0,0,0,0,0,0,4,302.88,18.0
11697,0,0,0,0,0,0,0,1,154,0,13,0,0,0,0,34.4,235.0
12631,0,0,0,0,0,456,0,0,162,0,15,0,0,0,0,76.8,192.0
8062,12,2709,17,0,0,130,0,0,0,0,0,0,0,0,1,201.36,70.0
10702,15,2957,16,0,2,131,0,0,-14,0,1,0,0,0,1,232.98,48.0
12611,5,1089,7,0,1,16,0,0,0,0,0,0,0,0,2,81.16,190.0
10870,0,0,0,0,2,243,0,0,11,0,3,0,0,0,0,40.4,225.0
12655,0,0,0,0,0,0,0,1,29,0,3,0,0,0,0,11.9,262.0
11675,0,0,0,0,0,0,0,12,997,1,75,0,0,0,1,246.7,41.0
12210,0,0,0,0,0,0,0,3,359,0,33,0,0,0,0,86.9,183.0
10409,0,0,0,0,0,0,0,4,552,0,57,0,0,0,0,136.2,136.0
9525,0,0,0,0,0,31,0,4,1017,1,72,0,0,0,0,202.8,69.0
12676,0,0,0,0,0,0,0,8,482,0,36,0,0,0,1,130.2,139.0
11746,0,0,0,0,5,774,0,1,236,0,34,0,0,0,0,171.0,103.0
7813,15,3502,8,1,5,134,0,0,3,0,1,0,0,0,4,250.78,38.0
9064,20,4317,15,3,2,53,0,0,0,0,0,0,0,0,3,287.98,29.0
12181,0,0,0,0,0,14,0,2,365,1,36,0,0,0,0,87.9,181.0
