plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
11642,164.9,217,725,0,2015,Blake,Bortles,QB,JAC,175.0,11642,35,4428,18,1,2,310,0,0,0,0,0,0,0,0,5,384.12,3.0
11761,164.96,228,725,0,2015,Jerick,McKinnon,RB,MIN,176.0,11761,0,0,0,0,2,271,0,1,173,0,21,0,0,0,0,83.4,159.0
11754,166.02,222,725,0,2015,Brandon,Coleman,WR,NOS,178.0,11754,0,0,0,0,0,0,0,2,454,0,30,0,0,0,0,87.4,157.0
11174,166.33,279,725,0,2015,Montee,Ball,RB,FA*,179.0,11174,0,0,0,0,3,556,0,0,136,0,24,0,0,0,0,111.2,137.0
10409,168.2,312,725,0,2015,Charles,Clay,TE,BUF,182.0,10409,0,0,0,0,0,0,0,3,528,0,51,0,0,0,0,121.8,127.0
12161,168.36,231,725,0,2015,Cameron,Artis-Payne,RB,CAR,183.0,12161,0,0,0,0,1,183,0,0,58,0,5,0,0,0,0,35.1,186.0
11225,170.03,163,725,0,2015,Cordarrelle,Patterson,WR,MIN,184.0,11225,0,0,0,0,0,15,0,0,10,0,2,2,0,0,1,14.5,201.0
12261,171.43,226,725,0,2015,Ty,Montgomery,WR,GBP,185.0,12261,0,0,0,0,0,0,0,4,807,0,54,0,0,0,0,158.7,103.0
11746,171.48,206,725,0,2015,Terrance,West,RB,BAL,186.0,11746,0,0,0,0,0,229,0,0,21,0,4,0,0,0,2,25.0,193.0
10744,171.56,179,725,0,2015,Ladarius,Green,TE,SDC,187.0,10744,0,0,0,0,0,0,0,1,173,0,12,0,0,0,0,35.3,183.0
11248,173.01,216,725,0,2015,Jordan,Reed,TE,WAS,189.0,11248,0,0,0,0,0,0,0,11,952,0,87,0,0,0,2,244.2,41.0
12206,173.2,132,725,0,2015,Maxx,Williams,TE,BAL,190.0,12206,0,0,0,0,0,0,0,1,268,0,32,0,0,0,0,64.8,166.0
12179,173.65,100,725,0,2015,Jaelen,Strong,WR,HOU,191.0,12179,0,0,0,0,0,0,0,3,161,0,14,0,0,0,0,48.1,172.0
10413,174.73,162,725,0,2015,Tyrod,Taylor,QB,BUF,192.0,10413,20,3035,6,0,4,568,1,0,4,0,1,0,0,0,1,295.6,24.0
9078,175.08,179,725,0,2015,Chris,Johnson,RB,ARI,193.0,9078,0,0,0,0,3,814,0,0,58,0,6,0,0,0,2,107.2,141.0
12159,177.16,104,725,0,2015,Javorius,Allen,RB,BAL,194.0,12159,0,0,0,0,1,516,0,2,353,0,45,0,0,0,2,145.9,113.0
10700,177.21,130,725,0,2015,Kirk,Cousins,QB,WAS,195.0,10700,29,4166,11,2,5,48,0,0,0,0,0,0,0,0,3,329.44,15.0
1600,177.52,200,725,0,2015,Malcom,Floyd,WR,SDC,196.0,1600,0,0,0,0,0,0,0,6,849,0,52,0,0,0,0,172.9,88.0
11870,179.86,154,725,0,2015,Jeff,Janis,WR,GBP,197.0,11870,0,0,0,0,0,0,0,0,79,0,2,0,0,0,0,9.9,203.0
9467,180.14,172,725,0,2015,Kenny,Britt,WR,STL,198.0,9467,0,0,0,0,0,0,0,3,681,0,36,0,0,0,0,122.1,126.0
11925,180.46,149,725,0,2015,Allen,Hurns,WR,JAC,199.0,11925,0,0,0,0,0,0,0,10,1030,0,64,0,0,0,1,225.0,53.0
10881,180.58,158,725,0,2015,Dan,Herron,RB,IND,200.0,10881,0,0,0,0,0,260,0,4,495,0,59,0,0,0,0,158.5,105.0
12156,180.84,128,725,0,2015,Jeremy,Langford,RB,CHI,201.0,12156,0,0,0,0,11,794,1,1,79,0,15,0,0,0,3,170.3,91.0
11076,182.53,38,725,0,2015,Jermaine,Kearse,WR,SEA,202.0,11076,0,0,0,0,0,0,0,5,685,0,49,0,0,0,0,147.5,112.0
7422,182.68,104,725,0,2015,Ben,Watson,TE,NOS,203.0,7422,0,0,0,0,0,0,0,6,825,0,74,0,0,0,1,190.5,77.0
8062,182.99,76,725,0,2015,Ryan,Fitzpatrick,QB,NYJ,204.0,8062,31,3905,15,0,2,270,0,0,0,0,0,0,0,0,2,345.2,9.0
9308,184.73,131,725,0,2015,Danny,Amendola,WR,NEP,205.0,9308,0,36,0,0,0,11,0,3,648,0,65,0,0,0,1,148.34,111.0
11213,185.95,116,725,0,2015,Tavon,Austin,WR,STL,206.0,11213,0,0,0,0,4,434,0,5,473,0,52,0,1,0,2,198.7,72.0
8667,186.41,172,725,0,2015,Dwayne,Bowe,WR,CLE,207.0,8667,0,0,0,0,0,12,0,4,396,0,36,1,1,0,0,112.8,135.0
10998,186.68,65,725,0,2015,Matt,Asiata,RB,MIN,208.0,10998,0,0,0,0,4,898,0,3,389,1,44,0,0,0,1,214.7,58.0
9474,188.09,89,725,0,2015,Jared,Cook,TE,STL,209.0,9474,0,0,0,0,0,0,0,0,481,1,39,0,0,0,1,87.1,158.0
10973,188.3,106,725,0,2015,Cole,Beasley,WR,DAL,210.0,10973,0,0,0,0,0,0,0,5,536,0,52,0,0,0,2,131.6,119.0
8735,188.6,53,725,0,2015,Scott,Chandler,TE,NEP,211.0,8735,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,2.0,206.0
11466,190.09,140,725,0,2015,Khiry,Robinson,RB,NOS,212.0,11466,0,0,0,0,3,814,0,0,58,0,6,0,0,0,2,107.2,141.0
11747,190.25,103,725,0,2015,James,White,RB,NEP,213.0,11747,0,0,0,0,2,56,0,4,410,0,40,0,0,0,0,122.6,124.0
12163,190.54,78,725,0,2015,Josh,Robinson,RB,FA,214.0,12163,0,0,0,0,0,379,0,2,534,0,61,0,0,0,0,164.3,96.0
10710,190.68,79,725,0,2015,Chris,Polk,RB,HOU,215.0,10710,0,0,0,0,7,1070,0,1,217,0,30,0,0,0,2,202.7,69.0
9545,191.26,42,725,0,2015,Brian,Hartline,WR,CLE,216.0,9545,0,0,0,0,0,0,0,0,102,0,10,0,0,0,0,20.2,198.0
10723,192.1,100,725,0,2015,Mohamed,Sanu,WR,CIN,217.0,10723,0,0,0,0,2,71,0,0,394,0,33,0,0,0,0,91.5,153.0
11941,193.82,92,725,0,2015,Branden,Oliver,RB,SDC,220.0,11941,0,0,0,0,0,108,0,0,112,0,13,0,0,0,0,35.0,187.0
11672,194.25,51,725,0,2015,Marqise,Lee,WR,JAC,221.0,11672,0,0,0,0,0,38,0,1,191,0,15,0,0,0,0,43.9,177.0
12264,195.63,60,725,0,2015,Zach,Zenner,RB,DET,223.0,12264,0,0,0,0,0,60,0,0,11,0,2,0,0,0,0,9.1,204.0
12185,196.16,61,725,0,2015,Justin,Hardy,WR,ATL,224.0,12185,0,0,0,0,0,0,0,0,194,0,21,0,0,0,0,40.4,181.0
9714,197.07,54,725,0,2015,Brian,Hoyer,QB,HOU,225.0,9714,19,2606,7,0,0,44,0,0,0,0,0,0,0,0,2,194.64,74.0
10961,198.16,75,725,0,2015,Lance,Dunbar,RB,DAL,226.0,10961,0,0,0,0,0,67,0,0,215,0,21,0,0,0,0,49.2,170.0
12257,198.28,53,725,0,2015,Chris,Conley,WR,KCC,227.0,12257,0,0,0,0,0,0,0,1,199,0,17,0,0,0,0,42.9,178.0
9094,198.32,95,725,0,2015,Ray,Rice,RB,FA*,228.0,9094,0,0,0,0,2,10,0,1,95,0,6,0,0,0,0,34.5,188.0
10334,198.45,55,725,0,2015,Stevan,Ridley,RB,NYJ,229.0,10334,0,0,0,0,0,90,0,0,-2,0,4,0,0,0,0,12.8,202.0
10432,200.78,68,725,0,2015,Virgil,Green,TE,DEN,231.0,10432,0,0,0,0,0,0,0,1,173,0,12,0,0,0,0,35.3,183.0
11188,201.5,52,725,0,2015,Theo,Riddick,RB,DET,232.0,11188,0,0,0,0,0,133,0,3,697,0,80,0,0,0,1,179.0,83.0
8293,203.77,43,725,0,2015,Greg,Jennings,WR,MIA,233.0,8293,0,0,0,0,0,0,0,0,117,0,14,0,0,0,0,25.7,191.0
10714,205.35,52,725,0,2015,Robert,Turbin,RB,DAL,235.0,10714,0,0,0,0,1,199,0,0,23,0,7,0,0,0,0,35.2,185.0
12178,205.82,55,725,0,2015,Sammie,Coates,WR,PIT,237.0,12178,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,2.1,205.0
12182,206.07,44,725,0,2015,Devin,Smith,WR,NYJ,238.0,12182,0,0,0,0,0,0,0,1,115,0,9,0,0,0,1,24.5,194.0
11886,208.3,46,725,0,2015,Damien,Williams,RB,MIA,239.0,11886,0,0,0,0,0,59,0,1,142,0,21,0,0,0,1,45.1,175.0
9429,210.03,58,725,0,2015,Mark,Sanchez,QB,PHI,240.0,9429,4,616,4,0,0,22,0,0,0,0,0,0,0,0,1,48.84,171.0
11641,210.16,70,725,0,2015,Johnny,Manziel,QB,CLE,241.0,11641,0,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,-0.04,212.0
12210,214.07,44,725,0,2015,Clive,Walford,TE,OAK,244.0,12210,0,0,0,0,0,0,0,3,329,0,28,0,0,0,0,78.9,162.0
11696,215.66,38,725,0,2015,Jace,Amaro,TE,NYJ,245.0,11696,0,0,0,0,0,0,0,1,72,0,12,0,0,0,0,25.2,192.0
11228,218.78,40,725,0,2015,Robert,Woods,WR,BUF,247.0,11228,0,0,0,0,0,0,0,3,552,0,47,0,0,0,1,118.2,131.0
11212,220.59,37,725,0,2015,Justin,Hunter,WR,TEN,248.0,11212,0,0,0,0,0,0,0,1,264,0,22,0,0,0,0,54.4,169.0
11760,221.58,52,725,0,2015,Jimmy,Garoppolo,QB,NEP,249.0,11760,0,6,0,0,0,-5,0,0,0,0,0,0,0,0,0,-0.26,214.0
